Player,Team,Nation,Position,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Playing Time_MP,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Aaron Ramsdale,Southampton,eng ENG,GK,26.0,N/a,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,66.0,2.2,182.0,123.0,66.5,2.0,5.0,23.0,3.0,10.0,7.0,5.0,2.0,0.0,28.6,30.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,N/a,N/a,0.0
Aaron Wan-Bissaka,West Ham United,cd COD,"DF,MF",26.0,36.0,35,3154.0,35.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,0.06,0.14,0.2,0.06,0.2,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,35.0,2.0,16.0,5.0,31.3,0.46,0.14,0.13,0.4,0.0,0.0,0.0,25.0,28.0,5.0,76.0,61.0,49.0,N/a,N/a,1.0
Abdoulaye Doucouré,Everton,ml MLI,MF,31.0,N/a,31,2564.0,28.5,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,0.11,0.07,0.18,0.11,0.18,33.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,28.5,3.0,31.0,10.0,32.3,1.09,0.35,0.1,0.3,0.0,0.0,1.0,49.0,5.0,10.0,23.0,11.0,28.0,N/a,N/a,0.0
Adam Armstrong,Southampton,eng ENG,"FW,MF",27.0,N/a,15,1248.0,13.9,2.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0,0.14,0.14,0.29,0.14,0.29,20.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,13.9,2.0,26.0,9.0,34.6,1.87,0.65,0.08,0.22,0.0,1.0,0.0,12.0,5.0,9.0,14.0,4.0,3.0,N/a,N/a,0.0
Adam Smith,Bournemouth,eng ENG,DF,33.0,N/a,19,1590.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17.7,0.0,3.0,0.0,0.0,0.17,0.0,0.0,N/a,0.0,0.0,0.0,19.0,12.0,0.0,33.0,15.0,14.0,N/a,N/a,0.0
Adam Wharton,Crystal Palace,eng ENG,MF,20.0,20.0,16,1318.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.14,0.14,0.0,0.14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,14.6,0.0,13.0,5.0,38.5,0.89,0.34,0.0,0.0,0.0,0.0,0.0,12.0,21.0,0.0,39.0,19.0,16.0,N/a,N/a,0.0
Adama Traoré,Fulham,es ESP,MF,28.0,N/a,18,1772.0,19.7,2.0,7.0,9.0,2.0,0.0,0.0,3.0,0.0,0.1,0.36,0.46,0.1,0.46,36.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,19.7,2.0,39.0,12.0,30.8,1.98,0.61,0.05,0.17,0.0,0.0,0.0,24.0,32.0,1.0,100.0,1.0,13.0,N/a,N/a,0.0
Alejandro Garnacho,Manchester United,ar ARG,MF,20.0,36.0,23,2199.0,24.4,6.0,2.0,8.0,6.0,0.0,0.0,3.0,0.0,0.25,0.08,0.33,0.25,0.33,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,24.4,6.0,84.0,30.0,35.7,3.44,1.23,0.07,0.2,0.0,0.0,0.0,12.0,44.0,10.0,55.0,13.0,16.0,N/a,N/a,0.0
Alex Iwobi,Fulham,ng NGA,MF,28.0,N/a,35,2981.0,33.1,9.0,6.0,15.0,9.0,0.0,0.0,1.0,0.0,0.27,0.18,0.45,0.27,0.45,38.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,33.1,9.0,68.0,29.0,42.6,2.05,0.88,0.13,0.31,0.0,0.0,0.0,19.0,18.0,5.0,127.0,13.0,26.0,N/a,N/a,0.0
Alex Palmer,Ipswich Town,eng ENG,GK,27.0,13.0,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,30.0,2.31,74.0,45.0,60.8,1.0,3.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,N/a,N/a,0.0
Alexander Isak,Newcastle United,se SWE,FW,24.0,34.0,34,2756.0,30.6,23.0,6.0,29.0,19.0,4.0,4.0,1.0,0.0,0.75,0.2,0.95,0.62,0.82,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,30.6,23.0,99.0,46.0,46.5,3.23,1.5,0.19,0.41,4.0,4.0,0.0,28.0,14.0,20.0,16.0,3.0,5.0,N/a,N/a,0.0
Alexis Mac Allister,Liverpool,ar ARG,MF,25.0,35.0,30,2599.0,28.9,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,0.17,0.17,0.35,0.17,0.35,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,28.9,5.0,38.0,14.0,36.8,1.32,0.48,0.13,0.36,0.0,0.0,0.0,62.0,40.0,2.0,86.0,22.0,59.0,N/a,N/a,0.0
Alisson,Liverpool,br BRA,GK,31.0,28.0,28,2508.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,1.04,106.0,74.0,73.6,18.0,7.0,3.0,10.0,35.7,1.0,1.0,0.0,0.0,0.0,27.9,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,N/a,N/a,0.0
Alphonse Areola,West Ham United,fr FRA,GK,31.0,26.0,25,2260.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,41.0,1.63,121.0,80.0,66.1,5.0,7.0,13.0,5.0,20.0,0.0,0.0,0.0,0.0,N/a,25.1,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N/a,N/a,1.0
Amad Diallo,Manchester United,ci CIV,"MF,FW",22.0,26.0,20,1901.0,21.1,8.0,6.0,14.0,8.0,0.0,0.0,5.0,0.0,0.38,0.28,0.66,0.38,0.66,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,21.1,8.0,47.0,17.0,36.2,2.23,0.8,0.17,0.47,0.0,0.0,0.0,20.0,28.0,9.0,43.0,10.0,31.0,N/a,N/a,0.0
Amadou Onana,Aston Villa,be BEL,MF,22.0,N/a,20,1617.0,18.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.17,0.0,0.17,0.17,0.17,26.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,18.0,3.0,17.0,6.0,35.3,0.95,0.33,0.18,0.5,0.0,0.0,0.0,32.0,30.0,0.0,2.0,26.0,29.0,N/a,N/a,0.0
Andreas Pereira,Fulham,br BRA,MF,28.0,N/a,25,2013.0,22.4,2.0,4.0,6.0,2.0,0.0,1.0,7.0,0.0,0.09,0.18,0.27,0.09,0.27,33.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,22.4,2.0,39.0,9.0,23.1,1.74,0.4,0.05,0.22,0.0,1.0,0.0,29.0,24.0,1.0,173.0,9.0,12.0,N/a,N/a,0.0
Andrew Robertson,Liverpool,sct SCO,DF,30.0,33.0,29,2482.0,27.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.04,0.04,0.0,0.04,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,27.6,0.0,15.0,3.0,20.0,0.54,0.11,0.0,0.0,0.0,0.0,0.0,11.0,8.0,3.0,145.0,21.0,21.0,N/a,N/a,1.0
André,Wolverhampton Wanderers,br BRA,MF,23.0,33.0,31,2472.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,27.5,0.0,10.0,1.0,10.0,0.36,0.04,0.0,0.0,0.0,0.0,0.0,36.0,34.0,0.0,0.0,37.0,55.0,N/a,N/a,0.0
André Onana,Manchester United,cm CMR,GK,28.0,34.0,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,44.0,1.29,129.0,88.0,68.2,10.0,9.0,15.0,9.0,26.5,4.0,3.0,1.0,0.0,25.0,34.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,N/a,N/a,0.0
Anthony Elanga,Nottingham Forest,se SWE,"MF,FW",22.0,38.0,31,2501.0,27.8,6.0,11.0,17.0,6.0,0.0,0.0,1.0,0.0,0.22,0.4,0.61,0.22,0.61,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,27.8,6.0,44.0,24.0,54.5,1.58,0.86,0.14,0.25,0.0,0.0,0.0,9.0,47.0,18.0,184.0,6.0,15.0,N/a,N/a,0.0
Anthony Gordon,Newcastle United,eng ENG,"FW,MF",23.0,34.0,28,2434.0,27.0,6.0,5.0,11.0,5.0,1.0,2.0,2.0,0.0,0.22,0.18,0.41,0.18,0.37,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,27.0,6.0,59.0,19.0,32.2,2.18,0.7,0.08,0.26,1.0,2.0,0.0,20.0,71.0,8.0,130.0,6.0,17.0,N/a,N/a,0.0
Antoine Semenyo,Bournemouth,gh GHA,MF,24.0,N/a,36,3203.0,35.6,11.0,5.0,16.0,11.0,0.0,0.0,9.0,0.0,0.31,0.14,0.45,0.31,0.45,37.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,35.6,11.0,126.0,41.0,32.5,3.54,1.15,0.09,0.27,0.0,0.0,0.0,72.0,37.0,14.0,58.0,9.0,36.0,N/a,N/a,0.0
Antonee Robinson,Fulham,us USA,"DF,MF",26.0,N/a,35,3167.0,35.2,0.0,10.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,0.28,0.28,0.0,0.28,36.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,35.2,0.0,16.0,2.0,12.5,0.45,0.06,0.0,0.0,0.0,0.0,0.0,31.0,20.0,7.0,172.0,57.0,57.0,N/a,N/a,0.0
Arijanet Muric,Ipswich Town,xk KVX,GK,25.0,18.0,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,33.0,1.83,100.0,70.0,70.0,2.0,6.0,10.0,1.0,5.6,3.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,N/a,N/a,0.0
Ashley Young,Everton,eng ENG,DF,39.0,N/a,19,1875.0,20.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,0.05,0.14,0.19,0.05,0.19,32.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,20.8,1.0,6.0,3.0,50.0,0.29,0.14,0.17,0.33,0.0,0.0,0.0,30.0,22.0,0.0,75.0,26.0,36.0,N/a,N/a,0.0
Axel Tuanzebe,Ipswich Town,cd COD,DF,26.0,22.0,20,1710.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.05,0.05,0.0,0.05,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,19.0,0.0,4.0,0.0,0.0,0.21,0.0,0.0,N/a,0.0,0.0,1.0,17.0,12.0,0.0,10.0,22.0,19.0,N/a,N/a,1.0
Bart Verbruggen,Brighton & Hove Albion,nl NED,GK,21.0,36.0,36,3240.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.03,0.03,0.0,0.03,36.0,58.0,1.61,140.0,89.0,65.0,14.0,13.0,9.0,7.0,19.4,9.0,9.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,N/a,N/a,0.0
Ben Johnson,Ipswich Town,eng ENG,"MF,DF",24.0,23.0,14,1354.0,15.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,0.07,0.13,0.2,0.07,0.2,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,15.0,1.0,7.0,3.0,42.9,0.47,0.2,0.14,0.33,0.0,0.0,1.0,27.0,6.0,1.0,37.0,13.0,20.0,N/a,N/a,0.0
Ben White,Arsenal,eng ENG,DF,26.0,17.0,13,1198.0,13.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.15,0.15,0.0,0.15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,13.3,0.0,9.0,2.0,22.2,0.68,0.15,0.0,0.0,0.0,0.0,0.0,10.0,5.0,1.0,17.0,16.0,15.0,N/a,N/a,0.0
Bernardo Silva,Manchester City,pt POR,MF,29.0,33.0,29,2670.0,29.7,4.0,4.0,8.0,4.0,0.0,0.0,7.0,0.0,0.13,0.13,0.27,0.13,0.27,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,29.7,4.0,32.0,12.0,37.5,1.08,0.4,0.13,0.33,0.0,0.0,0.0,27.0,31.0,3.0,60.0,21.0,35.0,N/a,N/a,0.0
Bernd Leno,Fulham,de GER,GK,32.0,N/a,38,3420.0,38.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.03,0.03,0.0,0.03,38.0,54.0,1.42,158.0,107.0,67.7,15.0,9.0,14.0,5.0,13.2,4.0,3.0,1.0,0.0,25.0,38.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,N/a,N/a,0.0
Beto,Everton,gw GNB,FW,26.0,N/a,15,1534.0,17.0,8.0,0.0,8.0,8.0,0.0,0.0,2.0,0.0,0.47,0.0,0.47,0.47,0.47,30.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17.0,8.0,49.0,23.0,46.9,2.87,1.35,0.16,0.35,0.0,0.0,0.0,33.0,23.0,16.0,4.0,4.0,7.0,N/a,N/a,0.0
Bilal El Khannouss,Leicester City,ma MAR,MF,20.0,N/a,27,2182.0,24.2,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.08,0.12,0.21,0.08,0.21,32.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,24.2,2.0,30.0,7.0,23.3,1.24,0.29,0.07,0.29,0.0,0.0,0.0,30.0,13.0,1.0,89.0,5.0,30.0,N/a,N/a,0.0
Boubacar Kamara,Aston Villa,fr FRA,"MF,DF",24.0,N/a,20,1726.0,19.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.05,0.0,0.05,0.05,0.05,26.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,19.2,1.0,10.0,3.0,30.0,0.52,0.16,0.1,0.33,0.0,0.0,0.0,29.0,35.0,0.0,1.0,16.0,23.0,N/a,N/a,0.0
Boubakary Soumaré,Leicester City,fr FRA,MF,25.0,N/a,25,2171.0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,24.1,0.0,7.0,0.0,0.0,0.29,0.0,0.0,N/a,0.0,0.0,0.0,24.0,23.0,0.0,10.0,27.0,19.0,N/a,N/a,0.0
Bruno Fernandes,Manchester United,pt POR,MF,29.0,36.0,35,3018.0,33.5,8.0,10.0,18.0,5.0,3.0,3.0,5.0,2.0,0.24,0.3,0.54,0.15,0.45,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,33.5,8.0,96.0,29.0,30.2,2.86,0.86,0.05,0.17,3.0,3.0,1.0,32.0,40.0,2.0,185.0,26.0,52.0,N/a,N/a,0.0
Bruno Guimarães,Newcastle United,br BRA,MF,26.0,38.0,38,3271.0,36.3,5.0,6.0,11.0,5.0,0.0,0.0,7.0,0.0,0.14,0.17,0.3,0.14,0.3,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,36.3,5.0,45.0,15.0,33.3,1.24,0.41,0.11,0.33,0.0,0.0,0.0,65.0,107.0,2.0,29.0,28.0,47.0,N/a,N/a,0.0
Bryan Mbeumo,Brentford,cm CMR,"MF,FW",24.0,38.0,38,3414.0,37.9,20.0,7.0,27.0,15.0,5.0,6.0,3.0,0.0,0.53,0.18,0.71,0.4,0.58,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,37.9,20.0,85.0,41.0,48.2,2.24,1.08,0.18,0.37,5.0,6.0,0.0,25.0,44.0,11.0,200.0,11.0,30.0,N/a,N/a,0.0
Bukayo Saka,Arsenal,eng ENG,"FW,MF",22.0,25.0,20,1729.0,19.2,6.0,10.0,16.0,5.0,1.0,1.0,3.0,0.0,0.31,0.52,0.83,0.26,0.78,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,19.2,6.0,67.0,23.0,34.3,3.49,1.2,0.07,0.22,1.0,1.0,0.0,15.0,39.0,7.0,115.0,3.0,15.0,N/a,N/a,0.0
Caleb Okoli,Leicester City,it ITA,DF,23.0,N/a,12,1125.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.08,0.0,0.08,0.08,0.08,19.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,12.5,1.0,4.0,2.0,50.0,0.32,0.16,0.25,0.5,0.0,0.0,0.0,16.0,9.0,0.0,1.0,15.0,14.0,N/a,N/a,0.0
Callum Hudson-Odoi,Nottingham Forest,eng ENG,MF,23.0,31.0,25,2194.0,24.4,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,0.21,0.08,0.29,0.21,0.29,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,24.4,5.0,37.0,17.0,45.9,1.52,0.7,0.14,0.29,0.0,0.0,0.0,12.0,25.0,8.0,80.0,13.0,16.0,N/a,N/a,0.0
Calvin Bassey,Fulham,ng NGA,DF,24.0,N/a,34,3074.0,34.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.03,0.0,0.03,0.03,0.03,35.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,34.2,1.0,14.0,4.0,28.6,0.41,0.12,0.07,0.25,0.0,0.0,0.0,26.0,31.0,2.0,9.0,19.0,33.0,N/a,N/a,0.0
Cameron Archer,Southampton,eng ENG,FW,23.0,N/a,13,1441.0,16.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,35.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16.0,2.0,29.0,11.0,37.9,1.81,0.69,0.07,0.18,0.0,1.0,0.0,16.0,13.0,8.0,4.0,1.0,9.0,N/a,N/a,0.0
Cameron Burgess,Ipswich Town,au AUS,DF,28.0,18.0,16,1541.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17.1,0.0,10.0,3.0,30.0,0.58,0.18,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,10.0,13.0,N/a,N/a,0.0
Carlos Baleba,Brighton & Hove Albion,cm CMR,MF,20.0,34.0,31,2661.0,29.6,3.0,1.0,4.0,3.0,0.0,0.0,8.0,1.0,0.1,0.03,0.14,0.1,0.14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,29.6,3.0,44.0,11.0,25.0,1.49,0.37,0.07,0.27,0.0,0.0,1.0,39.0,47.0,0.0,9.0,49.0,44.0,N/a,N/a,0.0
Carlos Soler,West Ham United,es ESP,MF,27.0,31.0,14,1409.0,15.7,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.06,0.06,0.13,0.06,0.13,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,15.7,1.0,25.0,9.0,36.0,1.6,0.57,0.04,0.11,0.0,0.0,0.0,26.0,19.0,0.0,35.0,8.0,11.0,N/a,N/a,0.0
Casemiro,Manchester United,br BRA,MF,32.0,24.0,18,1494.0,16.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.06,0.0,0.06,0.06,0.06,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16.6,1.0,32.0,10.0,31.3,1.93,0.6,0.03,0.1,0.0,0.0,0.0,20.0,19.0,3.0,20.0,15.0,52.0,N/a,N/a,0.0
Chris Richards,Crystal Palace,us USA,DF,24.0,24.0,22,1922.0,21.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.05,0.0,0.05,0.05,0.05,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,21.4,1.0,12.0,6.0,50.0,0.56,0.28,0.08,0.17,0.0,0.0,1.0,11.0,5.0,1.0,5.0,18.0,30.0,N/a,N/a,0.0
Chris Wood,Nottingham Forest,nz NZL,FW,32.0,36.0,35,2959.0,32.9,20.0,3.0,23.0,17.0,3.0,3.0,1.0,0.0,0.61,0.09,0.7,0.52,0.61,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,32.9,20.0,68.0,35.0,51.5,2.07,1.06,0.25,0.49,3.0,3.0,0.0,25.0,24.0,28.0,1.0,6.0,5.0,N/a,N/a,0.0
Christian Eriksen,Manchester United,dk DEN,MF,32.0,23.0,11,1061.0,11.8,1.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0,0.08,0.17,0.25,0.0,0.17,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11.8,1.0,15.0,2.0,13.3,1.27,0.17,0.0,0.0,1.0,1.0,0.0,8.0,3.0,0.0,84.0,7.0,8.0,N/a,N/a,0.0
Christian Nørgaard,Brentford,dk DEN,MF,30.0,34.0,34,2819.0,31.3,5.0,4.0,9.0,5.0,0.0,0.0,8.0,1.0,0.16,0.13,0.29,0.16,0.29,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,31.3,5.0,39.0,16.0,41.0,1.25,0.51,0.13,0.31,0.0,0.0,0.0,44.0,28.0,1.0,18.0,46.0,47.0,N/a,N/a,0.0
Christopher Nkunku,Chelsea,fr FRA,"MF,FW",26.0,27.0,9,921.0,10.2,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.29,0.2,0.49,0.29,0.49,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10.2,3.0,25.0,12.0,48.0,2.44,1.17,0.12,0.25,0.0,0.0,0.0,16.0,11.0,3.0,6.0,7.0,8.0,N/a,N/a,0.0
Cody Gakpo,Liverpool,nl NED,MF,25.0,35.0,23,1935.0,21.5,10.0,4.0,14.0,10.0,0.0,0.0,5.0,0.0,0.47,0.19,0.65,0.47,0.65,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,21.5,10.0,57.0,23.0,40.4,2.65,1.07,0.18,0.43,0.0,0.0,0.0,20.0,31.0,5.0,73.0,12.0,17.0,N/a,N/a,0.0
Cole Palmer,Chelsea,eng ENG,MF,22.0,37.0,36,3191.0,35.5,15.0,8.0,23.0,11.0,4.0,5.0,7.0,0.0,0.42,0.23,0.65,0.31,0.54,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,35.5,15.0,126.0,51.0,40.5,3.55,1.44,0.09,0.22,4.0,5.0,0.0,15.0,60.0,7.0,145.0,10.0,18.0,N/a,N/a,0.0
